ProductionID;Field;Date;BarrelsProduced
ccf256e9-7109-4ad9-a147-8f708c3b5ee3;we;15/02/2024;7544
8aa2f9e1-78fc-4389-adf1-f42f2fd0ce92;house;29/05/2024;4540
4f2c1c34-fd2b-4e24-a048-6478d314f07f;step;19/02/2024;9680
c5f5ad4c-83ab-4374-8aca-b4ac4de0af38;line;4/07/2024;1860
51114daa-9214-4c7c-b64e-e9714d7030aa;yard;9/04/2024;3047
37ef7685-bbd6-42c3-8e20-81c44980dda2;nation;17/02/2024;2070
02b47955-372a-4316-8a31-8b4bd1fa4d72;heavy;11/04/2024;7628
efc56b00-7045-403b-a9d5-3b7c4f068f0f;just;2/06/2024;5455
007d67df-189c-45a9-b9e4-f8d24bf08e11;live;11/04/2024;8196
2206c0fe-c38c-4c75-9d7c-13d0e597d7fd;discuss;;2194
986d531c-436f-409b-9af9-779cefc44c77;brother;30/03/2024;9709
739fedf5-6a9a-43d2-af16-ac8231fcd438;pattern;2/04/2024;2248
29688bb0-5898-4c90-9346-fca37c1917d8;individual;6/03/2024;4835
cb90df6b-247a-48b1-a808-fffffad84c1d;race;29/03/2024;7789
906e96ac-326b-422b-a365-d1682c439d64;fall;11/01/2024;7328
ba25387b-e74f-4573-84bc-e3033d1dedc9;already;6/05/2024;8000
7c0d6e47-5267-47b1-a97a-6eb3d609f2b3;also;18/02/2024;7628
8b99627a-1078-4efb-809f-032bde7cd4c6;church;12/04/2024;-8144
7ba69631-c072-493d-8f38-3f1c6c9338c5;throw;14/01/2024;5667
ffd6f7dc-5be9-4186-94ab-2431fd76cd56;financial;5/04/2024;6525
9d7b9c36-c96c-4b7f-a8ee-ac7f4b2caf54;especially;28/05/2024;8302
5b9e226f-2eae-477e-89bb-153639c2c7df;outside;1/04/2024;6997
1df6f2d8-ad55-4046-ac2b-99fd62db65d5;agree;14/03/2024;2094
5b19f42a-2210-4c0e-ba95-ff2bca02d042;total;30/03/2024;5978
63b4354c-80ff-49e7-bca8-5c95a007f005;blood;16/07/2024;6246
7e9c4584-d6dc-43e2-a814-66a83a3056f2;budget;2/01/2024;5031
9ce54956-756a-4eec-a26f-5e0168dd4873;above;19/07/2024;1349
7c4a91f8-a588-40ac-bb01-610b6f3d5073;term;21/02/2024;1234
6d76470a-0faf-4395-adda-bd1d2ac6831c;religious;7/02/2024;9435
82458ec6-f396-4f9c-af3f-8f803d9caec4;beat;30/04/2024;5751
124f4687-3d73-4f9a-b6ba-ff87e8e9380f;talk;6/01/2024;-4802
ccd264d1-44a2-42a7-929c-b43475d56449;go;10/07/2024;1546
d4c56366-1141-4624-9bf7-2de900591546;sell;2/03/2024;8884
71d6046d-4b94-477d-91d5-fd6e7d4e4a15;learn;16/07/2024;2579
0687b798-71d8-4c5d-87c2-97e2070fd42d;part;29/03/2024;8962
a265d143-afb4-4cd9-a710-9f15b04e0c3d;child;17/05/2024;6323
877fb16e-517d-456d-89b7-d89c831d2f5c;soldier;16/06/2024;9518
c5d69e30-4a09-4002-a586-f382946c1763;own;4/03/2024;
3f72de2c-9da1-4bb9-b9fa-7cd03cafe260;final;5/01/2024;7325
2efa98e9-86eb-4bf2-a250-9ce274c30b38;civil;1/04/2024;9933
29a02ac5-b4ff-4e9e-b022-802fe85430d2;individual;16/07/2024;3435
5594e33f-ffb5-4b23-97a4-1545d8f53704;low;29/03/2024;4856
4952a051-2775-4dde-8d72-00ed3f88eb0a;social;3/03/2024;8869
